title,ratings,reviews
Easeofuseandseamlessworking,50outof5stars,ItsalittleheavybuttheprosoutweightheconsbyadistanceDurabilitywaterresistancereadabilityandlessstressineyesduetoTrueToneamazingscreenspaceandtouchfeelnobuttonsallgesturesandtheloginbylookingintothedeviceisjustamazingTheresalotmoretosaybutasofnowthepriceiwillsayisworththemoolahandImmorethanimpressed
lovingthefaceIDtechnologySointuitiveits,50outof5stars,lovingthefaceIDtechnologySointuitiveitsworthanupgradefromiphone7plusGoforitifthebudgetpermits
Dontbuyfaultyproduct,10outof5stars,IrecentlyboughtiPhonexsilver256GBfromapparioretailpvtltdthedisplaywasfaultyandmalfunctionedafter15dayscalledamazonthereturnwindowwasjust10days
seamlessandbestOSeverinMobilehistoryiOS,50outof5stars,MasterclassfromthehouseofAppleUsedformonthandnocomplaintRobustsecureseamlessandbestOSeverinMobilehistoryiOS
Outstanding,50outof5stars,FantasticphoneSuperbdeliverybyApparioRetailPrivateLtdNoissueswhatsoever
Greatphone,40outof5stars,Phoneisgreatbettercmaeraqualityoverallverygoodperformancebutdeliveryistoolate
Slowerdaybyday,30outof5stars,reallyitsgettingslowdaybydayitsreallypainful
FiveStars,50outof5stars,Thismobilephoneisreallyawesome
Nicephone,50outof5stars,Youcantrustthis1000
FiveStars,50outof5stars,sexy
FiveStars,50outof5stars,Musthavephone
DefectiveCable,40outof5stars,ThephoneisalrightoriginalandallThecablethatIgotseemstobedefectiveItdoesntworkallthetime
FiveStars,50outof5stars,GenuineontimedeliverywithrightproductThanksAmazonIndia
FiveStars,50outof5stars,Good
FiveStars,50outof5stars,Receivedtheproductasshownandclaimed
FourStars,40outof5stars,Nicephonefingerprintsensorshouldbeaddedotherwisegoodcameraandwholedesignissuperb
Marvelous,50outof5stars,YetagainfellinlovewiththisAllinall55forthistruelylovingthisphoneItsexceededalltheexpectationsIhad
FiveStars,50outof5stars,LOVEIT
Qualityproductandqualityservice,50outof5stars,DecentpackagingandoriginalproductreceivedwithontimedeliveryNocomplaints
FiveStars,50outof5stars,Wow
Itsaappleflagshipsmartphonealthoughithasabeautifulscreenbutyoucantignorethenotchatthe,40outof5stars,ItsaappleflagshipsmartphonealthoughithasabeautifulscreenbutyoucantignorethenotchatthetopifweseeitspecsitaoverpricedphoneButifyouwantitgoforImnotstoppingyoubutthethingIcansayisthattherearelotsofothersmartphoneinmarketwhichlowerinpriceandarealsoverygood
FiveStars,50outof5stars,Outstandingcamera
FiveStars,50outof5stars,Promptdeliveryandgreatproduct
